id,name,terminalName,Y,longitude,installed,locked,installDate,temporary,available_bikes,empty_docks,total_docks
94,"Bricklayers Arms, Borough",1070,51.49506109,-0.085814489,TRUE,FALSE,1.28E+12,0,0,28,28
115,"Braham Street, Aldgate",1062,51.51423368,-0.073537654,TRUE,FALSE,1.28E+12,0,25,3,34
122,"Norton Folgate, Liverpool Street",1068,51.52111369,-0.078869751,TRUE,FALSE,1.28E+12,0,23,0,23
112,"Stonecutter Street, Holborn",1061,51.51580998,-0.105270275,TRUE,FALSE,1.28E+12,0,34,5,46
127,"Wood Street, Guildhall",1063,51.51700801,-0.09388536,TRUE,FALSE,1.28E+12,0,8,7,17
135,"Clerkenwell Green, Clerkenwell",1053,51.52326004,-0.104708922,TRUE,FALSE,1.28E+12,0,19,0,20
96,"Falkirk Street, Hoxton",1047,51.53095071,-0.078505384,TRUE,FALSE,1.28E+12,0,4,21,26
107,"Finsbury Leisure Centre, St. Luke's",1049,51.52600832,-0.096317627,TRUE,FALSE,1.28E+12,0,13,6,20
253,"Shoreditch Park, Hoxton",1051,51.53404294,-0.086379717,TRUE,FALSE,1.28E+12,0,0,29,30
124,"Eaton Square, Belgravia",1069,51.49654462,-0.150905245,TRUE,FALSE,1.28E+12,0,11,9,20
154,"Waterloo Station 3, Waterloo",1072,51.50379168,-0.11282408,TRUE,FALSE,-1,0,9,26,35
146,"Vauxhall Bridge , Pimlico",1046,51.48836528,-0.129361842,TRUE,FALSE,1.28E+12,0,10,25,35
44,"Bruton Street, Mayfair",1034,51.51073687,-0.144165239,TRUE,FALSE,1.28E+12,0,20,1,21
43,"Crawford Street, Marylebone",1036,51.52026,-0.157183945,TRUE,FALSE,1.28E+12,0,3,15,18
46,"Nesham Street, Wapping",1031,51.507131,-0.06691,TRUE,FALSE,1.28E+12,1,4,11,16
45,"Harewood Avenue, Marylebone",1035,51.52231968,-0.163849118,TRUE,FALSE,1.28E+12,0,0,19,19
49,"Curzon Street, Mayfair",3437,51.50706909,-0.145904427,TRUE,FALSE,1.28E+12,0,14,2,16
109,"Soho Square , Soho",1052,51.51563144,-0.132328837,TRUE,FALSE,1.28E+12,0,36,0,37
114,"Park Road (Baker Street), Regent's Park",1050,51.52451738,-0.158963647,TRUE,FALSE,1.28E+12,0,4,18,22
